collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
14453	"n. gen."	Orodromeus			2601	"United States"	Montana	Teton	47.8	-112.2	Cretaceous	"Cretaceous 7"	76.0	75.7
14453		Troodon			2601	"United States"	Montana	Teton	47.8	-112.2	Cretaceous	"Cretaceous 7"	76.0	75.7
14455		Hadrosaurus			1691	"United States"	"New Jersey"	Monmouth	40.3	-74.3	Cretaceous	"Cretaceous 7"	83.500	70.600
14455		Dryptosaurus		Dryptosaurus	1691	"United States"	"New Jersey"	Monmouth	40.3	-74.3	Cretaceous	"Cretaceous 7"	83.500	70.600
14457		Troodon			1098	"United States"	Montana	"Golden Valley"	46.1	-109.1	Cretaceous	"Cretaceous 7"	80.9	76.2
14457		Saurornitholestes			1098	"United States"	Montana	"Golden Valley"	46.1	-109.1	Cretaceous	"Cretaceous 7"	80.9	76.2
14457		Richardoestesia			1098	"United States"	Montana	"Golden Valley"	46.1	-109.1	Cretaceous	"Cretaceous 7"	80.9	76.2
14458		Saurornitholestes			2237	"United States"	Wyoming	Natrona	42.8544	-107.2781	Cretaceous	"Cretaceous 7"	75.5	75.3
14458		Richardoestesia			2237	"United States"	Wyoming	Natrona	42.8544	-107.2781	Cretaceous	"Cretaceous 7"	75.5	75.3
14458		Daspletosaurus			2237	"United States"	Wyoming	Natrona	42.8544	-107.2781	Cretaceous	"Cretaceous 7"	75.5	75.3
14462		Saurornitholestes		Saurornitholestes	1487	"United States"	Montana	"Golden Valley"	46.4651	-109.2972	Cretaceous	"Cretaceous 7"	80.9	76.2
14462		Richardoestesia		Richardoestesia	1487	"United States"	Montana	"Golden Valley"	46.4651	-109.2972	Cretaceous	"Cretaceous 7"	80.9	76.2
14462		Dromaeosaurus		Dromaeosaurus	1487	"United States"	Montana	"Golden Valley"	46.4651	-109.2972	Cretaceous	"Cretaceous 7"	80.9	76.2
14462		Troodon		Troodon	1487	"United States"	Montana	"Golden Valley"	46.4651	-109.2972	Cretaceous	"Cretaceous 7"	80.9	76.2
14463		Hesperonychus			1517	Canada	Alberta		49.9	-110.3	Cretaceous	"Cretaceous 7"	74.7	74.5
